dataset	family	n_targets	BH_positive_n	minimum_P_one	minimum_P_target	minimum_q_BH	maximum_upper95_one	MDE80_min	MDE80_max	equivalence_allowed
PGC	A_PRIMARY_HIGHER_ORDER	7	0	0.054348	D01	0.380436	0.5424183130195481	0.15729000885818312	0.7435437920053362	NO
PGC	B_SECONDARY_STANDALONE	13	0	0.15036	SA004	0.88973	0.6735092607539699	0.20783329730992942	1.1729549634053067	NO
SPARK	A_PRIMARY_HIGHER_ORDER	7	0	0.46555	M05	0.7205333333333334	0.2738603744573135	0.14828084794482438	0.6853808861452524	NO
SPARK	B_SECONDARY_STANDALONE	13	0	0.086039	SA013	0.6467824999999999	0.8580726292899779	0.1990905798053119	1.0129698961928508	NO
