analysis	anchor_gene	candidate_gene	rank	distance	anchor_length_quintile	candidate_length_quintile	expansion_rule	selected_count	selected_prop
PRIMARY_K50	ADA	RAPGEF3	1	0.1460956172160618	3	3	PRIMARY_K50_50	171	0.0171
PRIMARY_K50	ADA	INCENP	2	0.15186436632820993	3	3	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	ADA	LRRC8A	3	0.15208200899421886	3	3	PRIMARY_K50_50	189	0.0189
PRIMARY_K50	ADA	BRSK1	4	0.1703243015410807	3	3	PRIMARY_K50_50	187	0.0187
PRIMARY_K50	ADA	FLCN	5	0.18647110856567498	3	3	PRIMARY_K50_50	196	0.0196
PRIMARY_K50	ADA	VSIR	6	0.19624538070028197	3	3	PRIMARY_K50_50	227	0.0227
PRIMARY_K50	ADA	DMTN	7	0.19831744120281022	3	3	PRIMARY_K50_50	187	0.0187
PRIMARY_K50	ADA	SQSTM1	8	0.20676182139497923	3	3	PRIMARY_K50_50	222	0.0222
PRIMARY_K50	ADA	LAPTM5	9	0.20869532433657045	3	3	PRIMARY_K50_50	197	0.0197
PRIMARY_K50	ADA	TYK2	10	0.22118870750464995	3	3	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	ADA	STRA6	11	0.2271371270171477	3	3	PRIMARY_K50_50	229	0.0229
PRIMARY_K50	ADA	MYH6	12	0.23484706243599535	3	3	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	ADA	IKBKE	13	0.2599010842690483	3	3	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	ADA	NLGN3	14	0.2644635227535885	3	3	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	ADA	FGF18	15	0.26577607631508043	3	3	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	ADA	ADCY6	16	0.26767787711356433	3	3	PRIMARY_K50_50	185	0.0185
PRIMARY_K50	ADA	SLC2A1	17	0.2689385669377646	3	3	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	ADA	FGR	18	0.2811218301327972	3	3	PRIMARY_K50_50	200	0.02
PRIMARY_K50	ADA	STAT5A	19	0.2817835539903401	3	3	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	ADA	INPP5K	20	0.28300796733506267	3	3	PRIMARY_K50_50	198	0.0198
PRIMARY_K50	ADA	ATP2A1	21	0.2835068058016083	3	3	PRIMARY_K50_50	206	0.0206
PRIMARY_K50	ADA	DLG4	22	0.29244951766777455	3	3	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	ADA	CTTN	23	0.29588148633416717	3	3	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	ADA	NUP62	24	0.29721214665620305	3	3	PRIMARY_K50_50	219	0.0219
PRIMARY_K50	ADA	RORC	25	0.30207392483500595	3	3	PRIMARY_K50_50	173	0.0173
PRIMARY_K50	ADA	CSNK1D	26	0.30576332457313754	3	3	PRIMARY_K50_50	195	0.0195
PRIMARY_K50	ADA	AXIN2	27	0.3097501811444756	3	3	PRIMARY_K50_50	202	0.0202
PRIMARY_K50	ADA	LDLRAP1	28	0.3131695169467525	3	3	PRIMARY_K50_50	213	0.0213
PRIMARY_K50	ADA	HPN	29	0.3137537339526285	3	3	PRIMARY_K50_50	202	0.0202
PRIMARY_K50	ADA	INAVA	30	0.31621432932476323	3	3	PRIMARY_K50_50	189	0.0189
