dataset	max_VIF	condition_number	max_pairwise_Jaccard	hard_high_collinearity	marginal_model_status	conditional_reporting_gate	reason
PGC	1.1592383634393875	1.4993691817688706	0.20512820512820512	NO	PRIMARY	MAIN_TEXT_SUPPORTIVE_ELIGIBLE	No hard collinearity threshold exceeded
SPARK	1.1592389024323524	1.4993729446973463	0.20512820512820512	NO	PRIMARY	MAIN_TEXT_SUPPORTIVE_ELIGIBLE	No hard collinearity threshold exceeded
COMBINED	1.1592389024323524	1.4993729446973463	0.20512820512820512	NO	PRIMARY	MAIN_TEXT_SUPPORTIVE_ELIGIBLE	No PGC/SPARK hard threshold exceeded
