dataset	n_genes	n_units	condition_number	condition_class	min_singular_value	max_singular_value	singular_values
PGC	18162	7	1.4993691817688706	GREEN	109.19172551574238	163.71870814246975	163.71870814246975;154.80300091420688;134.87190045445854;134.65057342509306;125.5618767703487;111.15930566992212;109.19172551574238
SPARK	18170	7	1.4993729446973463	GREEN	109.21567200449084	163.75502374047295	163.75502374047295;154.8627027413725;134.90357268733771;134.6781045845626;125.58950023401641;111.148028055737;109.21567200449084
