unit_id	D01	M01	M02	M03	M04	M05	M06
D01	1.0	0.10810810810810811	0.0	0.20512820512820512	0.0	0.002506265664160401	0.0
M01	0.10810810810810811	1.0	0.0	0.08571428571428572	0.0	0.002564102564102564	0.0
M02	0.0	0.0	1.0	0.0	0.0	0.0	0.0
M03	0.20512820512820512	0.08571428571428572	0.0	1.0	0.0	0.0025252525252525255	0.0
M04	0.0	0.0	0.0	0.0	1.0	0.104	0.0
M05	0.002506265664160401	0.002564102564102564	0.0	0.0025252525252525255	0.104	1.0	0.0
M06	0.0	0.0	0.0	0.0	0.0	0.0	1.0
