dataset	standalone_i	label_i	standalone_j	label_j	n_i	n_j	intersect_n	union_n	Jaccard	phi
PGC	SA006	protein localization to phagophore assembly site	SA010	mitotic DNA replication	15	13	0	28	0.0	-0.0007694644073709854
PGC	SA006	protein localization to phagophore assembly site	SA011	Ribavirin ADME	15	11	0	26	0.0	-0.0007077653125053774
PGC	SA006	protein localization to phagophore assembly site	SA012	Specification of primordial germ cells	15	12	0	27	0.0	-0.0007392571237746507
PGC	SA006	protein localization to phagophore assembly site	SA013	GBP-mediated host defense	15	11	0	26	0.0	-0.0007077653125053774
PGC	SA007	locomotor rhythm	SA008	purine ribonucleoside metabolic process	11	24	0	35	0.0	-0.0008954822591887512
PGC	SA007	locomotor rhythm	SA009	response to hydroxyurea	11	9	0	20	0.0	-0.0005481420441915419
PGC	SA007	locomotor rhythm	SA010	mitotic DNA replication	11	13	0	24	0.0	-0.0006588573422177266
PGC	SA007	locomotor rhythm	SA011	Ribavirin ADME	11	11	0	22	0.0	-0.0006060272161313426
PGC	SA007	locomotor rhythm	SA012	Specification of primordial germ cells	11	12	0	23	0.0	-0.0006329922204586864
PGC	SA007	locomotor rhythm	SA013	GBP-mediated host defense	11	11	0	22	0.0	-0.0006060272161313426
PGC	SA008	purine ribonucleoside metabolic process	SA009	response to hydroxyurea	24	9	0	33	0.0	-0.0008099495584082832
PGC	SA008	purine ribonucleoside metabolic process	SA010	mitotic DNA replication	24	13	0	37	0.0	-0.0009735454870468357
PGC	SA008	purine ribonucleoside metabolic process	SA011	Ribavirin ADME	24	11	3	32	0.09375	0.18391984491565327
PGC	SA008	purine ribonucleoside metabolic process	SA012	Specification of primordial germ cells	24	12	0	36	0.0	-0.0009353264812819897
PGC	SA008	purine ribonucleoside metabolic process	SA013	GBP-mediated host defense	24	11	0	35	0.0	-0.0008954822591887512
PGC	SA009	response to hydroxyurea	SA010	mitotic DNA replication	9	13	0	22	0.0	-0.0005959260587325841
PGC	SA009	response to hydroxyurea	SA011	Ribavirin ADME	9	11	0	20	0.0	-0.0005481420441915419
PGC	SA009	response to hydroxyurea	SA012	Specification of primordial germ cells	9	12	0	21	0.0	-0.0005725314646667117
PGC	SA009	response to hydroxyurea	SA013	GBP-mediated host defense	9	11	0	20	0.0	-0.0005481420441915419
PGC	SA010	mitotic DNA replication	SA011	Ribavirin ADME	13	11	0	24	0.0	-0.0006588573422177266
PGC	SA010	mitotic DNA replication	SA012	Specification of primordial germ cells	13	12	0	25	0.0	-0.0006881730076055214
PGC	SA010	mitotic DNA replication	SA013	GBP-mediated host defense	13	11	0	24	0.0	-0.0006588573422177266
PGC	SA011	Ribavirin ADME	SA012	Specification of primordial germ cells	11	12	0	23	0.0	-0.0006329922204586864
PGC	SA011	Ribavirin ADME	SA013	GBP-mediated host defense	11	11	0	22	0.0	-0.0006060272161313426
PGC	SA012	Specification of primordial germ cells	SA013	GBP-mediated host defense	12	11	0	23	0.0	-0.0006329922204586864
SPARK	SA001	DNA recombinase assembly	SA002	DNA topological change	10	10	0	20	0.0	-0.0005506607929515419
SPARK	SA001	DNA recombinase assembly	SA003	DNA recombination	10	209	10	209	0.04784688995215311	0.21753752909685006
