dataset	available	status	candidate_files	substitute_audit
PGC	NO	NOT_AVAILABLE_FROM_NATIVE_OUTPUT		DESIGN_CORRELATION_PHI
SPARK	NO	NOT_AVAILABLE_FROM_NATIVE_OUTPUT		DESIGN_CORRELATION_PHI
