database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0000712	resolution of meiotic recombination intermediates	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000722	telomere maintenance via recombination	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000723	telomere maintenance	Neither	NO	NO	NA	NO
GO_BP	GO:0000724	double-strand break repair via homologous recombination	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000725	recombinational repair	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000727	double-strand break repair via break-induced replication	Firth_only	NO	NO	NA	NO
GO_BP	GO:0000729	DNA double-strand break processing	Neither	NO	NO	NA	NO
GO_BP	GO:0000730	DNA recombinase assembly	Tier1	YES	NO	NO	YES
GO_BP	GO:0000731	DNA synthesis involved in DNA repair	Neither	NO	NO	NA	NO
GO_BP	GO:0000768	syncytium formation by cell-cell fusion	Neither	NO	NO	NA	NO
GO_BP	GO:0000819	sister chromatid segregation	Neither	NO	NO	NA	NO
GO_BP	GO:0000902	cell morphogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0000910	cytokinesis	Neither	NO	NO	NA	NO
GO_BP	GO:0000956	nuclear-transcribed mRNA catabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000959	mitochondrial RNA metabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0000963	mitochondrial RNA processing	Neither	NO	NO	NA	NO
GO_BP	GO:0000966	RNA 5'-end processing	Neither	NO	NO	NA	NO
GO_BP	GO:0001101	response to acid chemical	Neither	NO	NO	NA	NO
GO_BP	GO:0001325	formation of extrachromosomal circular DNA	Neither	NO	NO	NA	NO
GO_BP	GO:0001408	guanine nucleotide transport	Neither	NO	NO	NA	NO
GO_BP	GO:0001501	skeletal system development	Neither	NO	NO	NA	NO
GO_BP	GO:0001503	ossification	Neither	NO	NO	NA	NO
GO_BP	GO:0001504	neurotransmitter uptake	Neither	NO	NO	NA	NO
GO_BP	GO:0001508	action potential	Neither	NO	NO	NA	NO
GO_BP	GO:0001510	RNA methylation	Neither	NO	NO	NA	NO
GO_BP	GO:0001516	prostaglandin biosynthetic process	Neither	NO	NO	NA	NO
GO_BP	GO:0001522	pseudouridine synthesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001523	retinoid metabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0001525	angiogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001539	cilium or flagellum-dependent cell motility	Neither	NO	NO	NA	NO
GO_BP	GO:0001541	ovarian follicle development	Neither	NO	NO	NA	NO
GO_BP	GO:0001556	oocyte maturation	Neither	NO	NO	NA	NO
GO_BP	GO:0001558	regulation of cell growth	Neither	NO	NO	NA	NO
GO_BP	GO:0001562	response to protozoan	Neither	NO	NO	NA	NO
GO_BP	GO:0001568	blood vessel development	Neither	NO	NO	NA	NO
GO_BP	GO:0001569	branching involved in blood vessel morphogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001570	vasculogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001573	ganglioside metabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0001574	ganglioside biosynthetic process	Neither	NO	NO	NA	NO
GO_BP	GO:0001578	microtubule bundle formation	Neither	NO	NO	NA	NO
GO_BP	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	Neither	NO	NO	NA	NO
GO_BP	GO:0001649	osteoblast differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0001654	eye development	Neither	NO	NO	NA	NO
GO_BP	GO:0001655	urogenital system development	Neither	NO	NO	NA	NO
GO_BP	GO:0001656	metanephros development	Neither	NO	NO	NA	NO
GO_BP	GO:0001657	ureteric bud development	Neither	NO	NO	NA	NO
GO_BP	GO:0001658	branching involved in ureteric bud morphogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001659	temperature homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001666	response to hypoxia	Neither	NO	NO	NA	NO
GO_BP	GO:0001667	ameboidal-type cell migration	Neither	NO	NO	NA	NO
GO_BP	GO:0001675	acrosome assembly	Firth_only	NO	NO	NA	NO
GO_BP	GO:0001676	long-chain fatty acid metabolic process	Neither	NO	NO	NA	NO
GO_BP	GO:0001678	intracellular glucose homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0001682	tRNA 5'-leader removal	Neither	NO	NO	NA	NO
GO_BP	GO:0001701	in utero embryonic development	Neither	NO	NO	NA	NO
GO_BP	GO:0001704	formation of primary germ layer	Neither	NO	NO	NA	NO
GO_BP	GO:0001706	endoderm formation	Neither	NO	NO	NA	NO
GO_BP	GO:0001707	mesoderm formation	Neither	NO	NO	NA	NO
GO_BP	GO:0001708	cell fate specification	Neither	NO	NO	NA	NO
GO_BP	GO:0001709	cell fate determination	Neither	NO	NO	NA	NO
GO_BP	GO:0001711	endodermal cell fate commitment	Neither	NO	NO	NA	NO
GO_BP	GO:0001732	formation of cytoplasmic translation initiation complex	Neither	NO	NO	NA	NO
