stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009129	pyrimidine nucleoside monophosphate metabolic process	0.210190732593262	0.5972572954292377	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009130	pyrimidine nucleoside monophosphate biosynthetic process	0.128581418449393	0.5226767365702055	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009131	pyrimidine nucleoside monophosphate catabolic process	0.127820437894424	0.5226767365702055	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009132	nucleoside diphosphate metabolic process	0.0445123633413584	0.3977722678758306	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009133	nucleoside diphosphate biosynthetic process	0.0703093539895917	0.4558064386903616	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009134	nucleoside diphosphate catabolic process	0.487001852425763	0.726371126360265	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009135	purine nucleoside diphosphate metabolic process	0.032638655670537	0.3426965312662084	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009137	purine nucleoside diphosphate catabolic process	0.465544843797044	0.7130912839434418	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009138	pyrimidine nucleoside diphosphate metabolic process	0.0542430248224116	0.43327612037457436	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009141	nucleoside triphosphate metabolic process	0.91926552750623	0.9635324576793706	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009142	nucleoside triphosphate biosynthetic process	0.611779817652101	0.7969132479714515	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009144	purine nucleoside triphosphate metabolic process	0.936858352385377	0.9711953331697669	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009145	purine nucleoside triphosphate biosynthetic process	0.560722022605048	0.7616986598199182	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009147	pyrimidine nucleoside triphosphate metabolic process	0.151864214282041	0.5476234608413934	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	0.120144500311843	0.5140833725201275	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009150	purine ribonucleotide metabolic process	0.110092448063988	0.5076603869348265	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009151	purine deoxyribonucleotide metabolic process	0.000239311124536112	0.015165646845602447	0.13923092479279253	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009152	purine ribonucleotide biosynthetic process	0.125094329062592	0.5202051813544378	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009154	purine ribonucleotide catabolic process	0.0462561522203071	0.40529908295928246	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009155	purine deoxyribonucleotide catabolic process	3.37709120909602e-05	0.005265290343887792	0.048338936765801775	SIGNIFICANT	SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009156	ribonucleoside monophosphate biosynthetic process	0.00123610872045967	0.04432100346385001	0.4068968744188942	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009157	deoxyribonucleoside monophosphate biosynthetic process	0.0848300348399211	0.48008690537650056	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009158	ribonucleoside monophosphate catabolic process	0.000925208137700582	0.03566986283066319	0.32747353539920876	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0009159	deoxyribonucleoside monophosphate catabolic process	0.000427005428535452	0.021779610318227886	0.19995159567577644	SIGNIFICANT	NOT_SIGNIFICANT	YES
