dataset	scenario_type	scenario_id	omitted_genes	origin_units	target_id	affected_by_omission	NGENES	beta	BETA_STD	SE	P_one	q_BH	baseline_beta	baseline_SE	baseline_P_one	baseline_q_BH	delta_beta_vs_frozen	sign_flip	classification_switch	scenario_primary_positive	interpretation
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.81865	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M05	YES	373	0.0013195	0.00018711	0.04511	0.48833	0.81865	0.0038955	0.045048	0.46555	0.7205333333333334	-0.002576	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_ADA	ADA	D01;M01;M03;M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.81865	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.99117	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M05	YES	374	-0.1135	-0.01612	0.047831	0.99117	0.99117	-0.11016	0.047785	0.98942	0.98942	-0.0033400000000000096	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CHD7	CHD7	M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M05	YES	373	0.0054864	0.00077798	0.04509	0.45158	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0015908999999999997	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CHD7	CHD7	M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.9863799999999999	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M05	YES	374	-0.10578	-0.015023	0.047904	0.98638	0.9863799999999999	-0.11016	0.047785	0.98942	0.98942	0.004379999999999995	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M05	YES	373	0.002062	0.0002924	0.045132	0.48178	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	-0.0018335	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_CORO1A	CORO1A	M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M04	YES	38	-0.19317	-0.0088269	0.14731	0.90512	0.98924	-0.19325	0.14588	0.90736	0.98942	7.999999999999674e-05	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M05	YES	374	-0.10997	-0.015618	0.047834	0.98924	0.98924	-0.11016	0.047785	0.98942	0.98942	0.00018999999999999573	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M04	YES	38	-0.0014943	-6.8268e-05	0.14481	0.50412	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0175227	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M05	YES	373	0.0056412	0.00079994	0.045093	0.45022	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0017456999999999998	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_DOCK8	DOCK8	M04;M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.98869	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M05	YES	374	-0.10926	-0.015517	0.047919	0.98869	0.98869	-0.11016	0.047785	0.98942	0.98942	0.000899999999999998	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M05	YES	373	0.0059002	0.00083666	0.045147	0.44801	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0020047000000000003	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_KMT2A	KMT2A	M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.99109	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	M05	YES	374	-0.11334	-0.016097	0.047834	0.99109	0.99109	-0.11016	0.047785	0.98942	0.98942	-0.0031800000000000023	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PAX5	PAX5	M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	M05	YES	373	0.0024933	0.00035355	0.045094	0.47795	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	-0.0014022000000000001	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PAX5	PAX5	M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M04	YES	38	-0.19642	-0.0089754	0.1473	0.9088	0.98944	-0.19325	0.14588	0.90736	0.98942	-0.003170000000000006	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M05	YES	374	-0.11031	-0.015666	0.047833	0.98944	0.98944	-0.11016	0.047785	0.98942	0.98942	-0.00015000000000001124	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M04	YES	38	-0.014186	-0.0006481	0.14479	0.53902	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0048309999999999985	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M05	YES	373	0.0044099	0.00062534	0.045092	0.46105	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0005143999999999995	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PIK3CG	PIK3CG	M04;M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
