dataset	scenario_type	scenario_id	omitted_genes	origin_units	target_id	affected_by_omission	NGENES	beta	BETA_STD	SE	P_one	q_BH	baseline_beta	baseline_SE	baseline_P_one	baseline_q_BH	delta_beta_vs_frozen	sign_flip	classification_switch	scenario_primary_positive	interpretation
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M04	YES	38	-0.21181	-0.0096786	0.14729	0.92477	0.99036	-0.19325	0.14588	0.90736	0.98942	-0.018559999999999993	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M05	YES	374	-0.11194	-0.015897	0.047833	0.99036	0.99036	-0.11016	0.047785	0.98942	0.98942	-0.0017800000000000038	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M04	YES	38	-0.032898	-0.001503	0.14479	0.58987	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	-0.013880999999999998	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M05	YES	373	0.002595	0.00036798	0.045092	0.47705	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	-0.0013005	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_PTPRC	PTPRC	M04;M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M02	YES	30	0.062523	0.002539	0.16246	0.35018	0.726348	0.099343	0.16056	0.26805	0.62545	-0.036820000000000006	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.98942	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M05	NO	375	-0.11016	-0.015665	0.047785	0.98942	0.98942	-0.11016	0.047785	0.98942	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M02	YES	30	-0.0071407	-0.00028992	0.14436	0.51973	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.026702299999999998	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M05	NO	374	0.0038955	0.00055311	0.045048	0.46555	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_SLC7A7	SLC7A7	M02	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	D01	NO	25	0.26781	0.0099296	0.16695	0.054348	0.380436	0.26781	0.16695	0.054348	0.380436	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M01	NO	16	0.00015146	4.4936e-06	0.22589	0.49973	0.726348	0.00015146	0.22589	0.49973	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M02	NO	31	0.099343	0.0041009	0.16056	0.26805	0.62545	0.099343	0.16056	0.26805	0.62545	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M03	NO	22	-0.0088966	-0.00030946	0.18851	0.51882	0.726348	-0.0088966	0.18851	0.51882	0.726348	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M04	NO	39	-0.19325	-0.0089456	0.14588	0.90736	0.98941	-0.19325	0.14588	0.90736	0.98942	0.0	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M05	YES	374	-0.11025	-0.015657	0.047831	0.98941	0.98941	-0.11016	0.047785	0.98942	0.98942	-9.000000000000674e-05	NO	NO	NO	DIAGNOSTIC_NULL
PGC	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M06	NO	26	0.18612	0.0070373	0.17307	0.14111	0.493885	0.18612	0.17307	0.14111	0.493885	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	D01	NO	25	0.00050345	1.8662e-05	0.15502	0.4987	0.7205333333333334	0.00050345	0.15502	0.4987	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M01	NO	16	-0.12875	-0.0038189	0.20822	0.73181	0.73181	-0.12875	0.20822	0.73181	0.73181	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M02	NO	31	-0.033843	-0.0013967	0.14289	0.59361	0.7205333333333334	-0.033843	0.14289	0.59361	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M03	NO	22	-0.053418	-0.0018577	0.17854	0.6176	0.7205333333333334	-0.053418	0.17854	0.6176	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M04	NO	39	-0.019017	-0.00088011	0.14331	0.55278	0.7205333333333334	-0.019017	0.14331	0.55278	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M05	YES	373	0.0069623	0.00098728	0.04509	0.43864	0.7205333333333334	0.0038955	0.045048	0.46555	0.7205333333333334	0.0030668	NO	NO	NO	DIAGNOSTIC_NULL
SPARK	LEAVE_ONE	L1_TOP2B	TOP2B	M05	M06	NO	27	0.010618	0.00040901	0.16004	0.47355	0.7205333333333334	0.010618	0.16004	0.47355	0.7205333333333334	0.0	NO	NO	NO	DIAGNOSTIC_NULL
