stage	source	pathway_id	pathway_name	R	positive_n	positive_prop	interpretation
MDV3	GO_BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000387	spliceosomal snRNP assembly	1000	88	0.088	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1000	68	0.068	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000393	spliceosomal conformational changes to generate catalytic conformation	1000	72	0.072	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	1000	9	0.009	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000398	mRNA splicing, via spliceosome	1000	11	0.011	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000422	autophagy of mitochondrion	1000	19	0.019	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000423	mitophagy	1000	26	0.026	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000425	pexophagy	1000	38	0.038	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1000	18	0.018	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000460	maturation of 5.8S rRNA	1000	65	0.065	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1000	18	0.018	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1000	31	0.031	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000470	maturation of LSU-rRNA	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1000	18	0.018	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000491	small nucleolar ribonucleoprotein complex assembly	1000	16	0.016	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000578	embryonic axis specification	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000712	resolution of meiotic recombination intermediates	1000	53	0.053	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000722	telomere maintenance via recombination	1000	65	0.065	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000723	telomere maintenance	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000724	double-strand break repair via homologous recombination	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000725	recombinational repair	1000	6	0.006	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000727	double-strand break repair via break-induced replication	1000	30	0.03	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000729	DNA double-strand break processing	1000	15	0.015	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000730	DNA recombinase assembly	1000	45	0.045	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000731	DNA synthesis involved in DNA repair	1000	89	0.089	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000768	syncytium formation by cell-cell fusion	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000819	sister chromatid segregation	1000	11	0.011	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000902	cell morphogenesis	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000910	cytokinesis	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000956	nuclear-transcribed mRNA catabolic process	1000	23	0.023	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000959	mitochondrial RNA metabolic process	1000	89	0.089	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000963	mitochondrial RNA processing	1000	42	0.042	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0000966	RNA 5'-end processing	1000	52	0.052	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001101	response to acid chemical	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001325	formation of extrachromosomal circular DNA	1000	67	0.067	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001408	guanine nucleotide transport	1000	38	0.038	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001501	skeletal system development	1000	1	0.001	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001503	ossification	1000	7	0.007	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001504	neurotransmitter uptake	1000	33	0.033	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001508	action potential	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001510	RNA methylation	1000	35	0.035	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001516	prostaglandin biosynthetic process	1000	24	0.024	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001522	pseudouridine synthesis	1000	36	0.036	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001523	retinoid metabolic process	1000	18	0.018	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001525	angiogenesis	1000	1	0.001	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001539	cilium or flagellum-dependent cell motility	1000	8	0.008	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001541	ovarian follicle development	1000	13	0.013	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001556	oocyte maturation	1000	21	0.021	CONDITIONAL_SUPPORTIVE_MD3_ONLY
