source	pathway_id	pathway_name	global_pathway_size	outcome_n	outcome_pathway_n	nonoutcome_pathway_n	beta_pathway	SE	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	legacy_beta_pathway	legacy_SE	legacy_P_Firth	legacy_q_Firth	legacy_OR_Firth	legacy_solver_attempt	legacy_solver_type	legacy_converged	legacy_prob01_warning	legacy_enriched_flag	legacy_depleted_flag	replay_q_Firth	replay_enriched_flag	replay_depleted_flag	abs_beta_diff	abs_SE_diff	abs_log10p_diff	abs_q_diff	solver_attempt_match	solver_type_match	converged_match	prob01_match	enriched_match	depleted_match	replay_PASS	i.pathway_name	i.global_pathway_size	CoreSeed_n	nonCoreSeed_n	CoreSeed_pathway_n	nonCoreSeed_pathway_n	i.beta_pathway	i.SE	i.logCI95L	i.logCI95U	i.OR_Firth	i.CI95L	i.CI95U	i.P_Firth	i.fit_status	i.converged	i.solver_attempt	i.solver_type	i.iterations	i.prob01_warning	i.warning	q_Firth	enriched_flag	depleted_flag	mdv2_short_id	mdv2_descriptive_family	mdv2_representative_role	mdv2_primary_reporting_flag	cert_PASS
GO_BP	GO:0000012	single strand break repair	14	25	0	14	2.2500098300395	1.57085239924438	-0.828804297507821	5.32882395758683	9.48782910163499	0.436570983374981	206.195337046742	0.152043790306456	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	2.25000983003951	1.57085239924438	0.152043790306456	0.541624368780353	9.48782910163501	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.541624368780351	FALSE	FALSE	6.66133814775094e-15	3.10862446895044e-15	8.88178419700125e-16	2.1094237467878e-15	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	single strand break repair	14	25	19242	0	14	2.25000983003951	1.57085239924438	-0.828804297507817	5.32882395758683	9.48782910163501	0.436570983374982	206.195337046742	0.152043790306456	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.541624368780353	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0002716	negative regulation of natural killer cell mediated immunity	25	25	0	25	1.13875950449696	1.51693106524173	-1.83437075040681	4.11188975940074	3.12289202787669	0.159713970105688	61.0620010968502	0.452833479453238	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	1.13875950449697	1.51693106524173	0.452833479453237	0.702015163056738	3.1228920278767	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.702015163056739	FALSE	FALSE	5.77315972805081e-15	4.66293670342566e-15	4.9960036108132e-16	5.55111512312578e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	negative regulation of natural killer cell mediated immunity	25	25	19242	0	25	1.13875950449697	1.51693106524173	-1.83437075040681	4.11188975940074	3.1228920278767	0.159713970105688	61.0620010968503	0.452833479453237	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.702015163056738	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0006700	C21-steroid hormone biosynthetic process	11	25	0	11	2.84248854785718	1.53411597020304	-0.164323501848501	5.84930059756286	17.1584119806465	0.848467496674328	346.991608814212	0.0639036957063827	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	2.84248854785718	1.53411597020304	0.0639036957063826	0.43425828129649	17.1584119806465	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.434258281296491	FALSE	FALSE	4.44089209850063e-16	2.22044604925031e-16	4.44089209850063e-16	7.21644966006352e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	C21-steroid hormone biosynthetic process	11	25	19242	0	11	2.84248854785718	1.53411597020304	-0.164323501848501	5.84930059756286	17.1584119806465	0.848467496674328	346.991608814212	0.0639036957063826	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.43425828129649	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0009138	pyrimidine nucleoside diphosphate metabolic process	11	25	0	11	3.01231101680378	1.53431712177881	0.00510471725415318	6.0195173163534	20.33433866459	1.0051177685215	411.379981407017	0.049612369071651	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	3.01231101680378	1.53431712177881	0.0496123690716511	0.406164873770611	20.3343386645899	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.406164873770611	FALSE	FALSE	2.22044604925031e-15	6.66133814775094e-16	1.11022302462516e-15	3.88578058618805e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	pyrimidine nucleoside diphosphate metabolic process	11	25	19242	0	11	3.01231101680378	1.53431712177881	0.00510471725415096	6.0195173163534	20.3343386645899	1.0051177685215	411.379981407016	0.0496123690716511	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.406164873770611	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0015718	monocarboxylic acid transport	152	25	0	152	-0.0188499884731485	1.4205124276362	-2.80300318623165	2.76530320928536	0.981326561497568	0.0606277126349392	15.883855392982	0.98941250136681	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	-0.0188499884731481	1.4205124276362	0.989412501366811	0.994155260407286	0.981326561497568	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.994155260407286	FALSE	FALSE	4.37150315946155e-16	3.5527136788005e-15	2.92300905702092e-16	4.44089209850063e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	monocarboxylic acid transport	152	25	19242	0	152	-0.0188499884731481	1.4205124276362	-2.80300318623165	2.76530320928536	0.981326561497568	0.0606277126349392	15.883855392982	0.989412501366811	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.994155260407286	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0030488	tRNA methylation	39	25	0	39	2.72605056806832	1.44908134613116	-0.114096681017566	5.56619781715421	15.2724502503176	0.892171695645233	261.438171359759	0.0599410825482062	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	2.72605056806832	1.44908134613116	0.0599410825482062	0.432027537850598	15.2724502503176	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.432027537850598	FALSE	FALSE	2.22044604925031e-15	2.66453525910038e-15	2.22044604925031e-16	3.33066907387547e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	tRNA methylation	39	25	19242	0	39	2.72605056806832	1.44908134613116	-0.114096681017566	5.56619781715421	15.2724502503176	0.892171695645233	261.438171359759	0.0599410825482062	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.432027537850598	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0032930	positive regulation of superoxide anion generation	19	25	0	19	0.759553746472641	1.55145225764978	-2.28123680225428	3.80034429519956	2.13732222006981	0.102157779576896	44.7165775462616	0.624433982966767	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	0.759553746472642	1.55145225764978	0.624433982966766	0.800701449600406	2.13732222006982	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.800701449600406	FALSE	FALSE	1.11022302462516e-15	3.10862446895044e-15	6.93889390390723e-16	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	positive regulation of superoxide anion generation	19	25	19242	0	19	0.759553746472642	1.55145225764978	-2.28123680225428	3.80034429519956	2.13732222006982	0.102157779576896	44.7165775462615	0.624433982966766	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.800701449600406	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0036314	response to sterol	30	25	0	30	0.956019846914	1.48456507083539	-1.95367422462952	3.86571391845752	2.60132218097624	0.141752283858217	47.7373408389477	0.519592931763743	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	0.956019846914003	1.48456507083539	0.519592931763742	0.736514676807596	2.60132218097624	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.736514676807595	FALSE	FALSE	2.44249065417534e-15	2.22044604925031e-15	5.55111512312578e-16	9.99200722162641e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	response to sterol	30	25	19242	0	30	0.956019846914003	1.48456507083539	-1.95367422462952	3.86571391845752	2.60132218097624	0.141752283858218	47.7373408389478	0.519592931763742	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.736514676807596	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0044272	sulfur compound biosynthetic process	103	25	0	103	0.876488221254033	1.41220919477169	-1.8913909391348	3.64436738164286	2.40244800900117	0.150861823217759	38.2585621255722	0.534829661646042	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	0.876488221254033	1.41220919477169	0.534829661646042	0.74418441801162	2.40244800900117	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.744184418011621	FALSE	FALSE	0	3.10862446895044e-15	0	1.33226762955019e-15	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	sulfur compound biosynthetic process	103	25	19242	0	103	0.876488221254033	1.41220919477169	-1.8913909391348	3.64436738164286	2.40244800900117	0.150861823217759	38.2585621255722	0.534829661646042	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.74418441801162	FALSE	FALSE				FALSE	TRUE
GO_BP	GO:0046622	positive regulation of organ growth	27	25	0	27	0.242660060449292	1.46347017650992	-2.62568877795863	3.11100889885721	1.27463525152767	0.07238987930559	22.4436763815898	0.868305362784661	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	0.242660060449292	1.46347017650992	0.868305362784661	0.939500541428708	1.27463525152767	A_ASMEAN_RA05	AS_mean	TRUE	FALSE	FALSE	FALSE	0.939500541428708	FALSE	FALSE	1.11022302462516e-16	2.22044604925031e-16	4.85722573273506e-17	1.11022302462516e-16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	positive regulation of organ growth	27	25	19242	0	27	0.242660060449292	1.46347017650992	-2.62568877795863	3.11100889885721	1.27463525152767	0.0723898793055901	22.4436763815898	0.868305362784661	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE		0.939500541428708	FALSE	FALSE				FALSE	TRUE
