dataset	family	target_id	frozen_n	common_scored_n	observed_meanZ	meanZ_percentile	P_emp_meanZ	q_BH_meanZ	observed_medianZ	medianZ_percentile	P_emp_medianZ	q_BH_medianZ	matched_set_n	meanZ_status	medianZ_status	biological_label
PGC	B	SA007	11	11	0.0180245454545454	0.2451	0.7549245075492451	0.9687281271872812	-0.10268	0.1838	0.8162183781621838	0.925832416758324	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	locomotor rhythm
SPARK	B	SA007	11	11	0.5144535454545454	0.9335	0.0665933406659334	0.4328567143285671	0.67421	0.9589	0.0411958804119588	0.5355464453554645	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	locomotor rhythm
PGC	B	SA008	25	24	0.2377450833333333	0.4466	0.5534446555344466	0.9313568643135688	0.4149899999999999	0.7452	0.2548745125487451	0.8283421657834216	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	purine ribonucleoside metabolic process
SPARK	B	SA008	25	24	0.2254033333333333	0.7924	0.2076792320767923	0.674957504249575	0.097075	0.5843	0.4157584241575842	0.9008099190080991	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	purine ribonucleoside metabolic process
PGC	B	SA009	10	9	0.2309185222222222	0.4269	0.5731426857314269	0.9313568643135688	-0.088534	0.204	0.796020397960204	0.925832416758324	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	response to hydroxyurea
SPARK	B	SA009	10	9	-0.2942066666666666	0.1398	0.8602139786021398	0.983801619838016	-0.22998	0.2373	0.7627237276272373	0.9974002599740026	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	response to hydroxyurea
PGC	B	SA010	14	13	0.4723807692307691	0.7412	0.2588741125887411	0.9313568643135688	0.51887	0.7686	0.2314768523147685	0.8283421657834216	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	mitotic DNA replication
SPARK	B	SA010	14	13	-0.1441127692307692	0.2576	0.7424257574242575	0.983801619838016	-0.13528	0.3357	0.6643335666433356	0.9974002599740026	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	mitotic DNA replication
PGC	B	SA011	11	11	-0.607241	0.0043	0.9957004299570044	0.9957004299570044	-0.36781	0.0606	0.9394060593940606	0.9394060593940606	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Ribavirin ADME
SPARK	B	SA011	11	11	-0.1739167272727272	0.2236	0.7764223577642235	0.983801619838016	-0.53006	0.0544	0.9456054394560544	0.9974002599740026	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Ribavirin ADME
PGC	B	SA012	12	12	-0.00634	0.1819	0.8181181881811819	0.9687281271872812	-0.007025	0.2117	0.7883211678832117	0.925832416758324	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Specification of primordial germ cells
SPARK	B	SA012	12	12	-0.5779633333333333	0.0162	0.9838016198380162	0.983801619838016	-0.739295	0.0104	0.9896010398960104	0.9974002599740026	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	Specification of primordial germ cells
PGC	B	SA013	11	11	0.3702253636363636	0.5939	0.4061593840615938	0.9313568643135688	0.25834	0.5114	0.4886511348865113	0.925832416758324	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	GBP-mediated host defense
SPARK	B	SA013	11	11	0.1116499999999999	0.5605	0.4395560443955604	0.9523714295237145	-0.21394	0.2134	0.7866213378662134	0.9974002599740026	10000	PRIMARY_COMPLEMENTARY	SUPPORTIVE	GBP-mediated host defense
