source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag
GO_BP	GO:1902969	mitotic DNA replication	14	26	2	12	4.68347775651458	0.776777808337248	3.16102122818362	6.20593428484554	108.145523127755	23.5946791810903	495.681847708657	1.64604066433395e-09	8.97092162062e-06	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0033260	nuclear DNA replication	22	26	2	20	3.9304242758702	0.73441144058201	2.49100430249528	5.36984424924512	50.9285808539822	12.0733953748288	214.829405256462	8.70828777947284e-08	0.00017648177288051	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0044786	cell cycle DNA replication	23	26	2	21	3.89924889664583	0.731294295771145	2.4659384148348	5.33255937845685	49.3653566921645	11.7745263593543	206.967003764751	9.71459300259687e-08	0.00017648177288051	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	17	26	2	15	3.92985927064098	0.762772684779682	2.43485228008188	5.42486626120008	50.8998140669408	11.4141324941085	226.980988120333	2.57625021263415e-07	0.000328088823116726	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0046649	lymphocyte activation	387	26	9	378	2.32184930162307	0.454117170503977	1.43179600267404	3.2119026005721	10.1945096077925	4.18621089034201	24.8262758054414	3.17273866893792e-07	0.000328088823116726	PASS	TRUE	A_ASMEAN_RA05	AS_mean	38	FALSE	""	TRUE	FALSE
GO_BP	GO:0000727	double-strand break repair via break-induced replication	12	26	1	11	4.88645923045047	0.966868711500379	2.99143137813108	6.78148708276986	132.483648524735	19.9141668036521	881.378432724915	4.32874919107125e-07	0.000328088823116726	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	18	26	1	17	4.72387131737659	0.93723029139684	2.8869337010188	6.56080893373437	112.603333197488	17.9382212365121	706.843252739922	4.64933588586682e-07	0.000328088823116726	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0006310	DNA recombination	215	26	5	210	2.47278214081282	0.491264698869623	1.50992102415244	3.43564325747319	11.8553843606882	4.52637330602976	31.0513801750331	4.81598272464919e-07	0.000328088823116726	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0006613	cotranslational protein targeting to membrane	22	26	1	21	4.48574529683808	0.915904858651047	2.69060476061678	6.28088583305938	88.7430660987086	14.7405877523493	534.261720964594	9.70090601038121e-07	0.000535251837746621	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0042098	T cell proliferation	20	26	2	18	3.70459964499918	0.756783798201909	2.22133065644001	5.18786863355835	40.6337761244958	9.21959081507542	179.086447029281	9.82113463755268e-07	0.000535251837746621	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:2001032	regulation of double-strand break repair via nonhomologous end joining	27	26	2	25	3.42036011779646	0.731974874212922	1.9857157267509	4.85500450884202	30.5804255938593	7.28425905923292	128.38127006428	2.97144936743349e-06	0.00137181728090123	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
