covariate	median_abs_SMD	p95_abs_SMD	max_abs_SMD	median_gate	p95_gate	status	attempts	accepted_sets	K
z_GC	0.022248075088829304	0.05687756492254983	0.09876880243774057	0.15	0.25	PASS	10000	10000	20
z_log_annotation	0.06274896360441234	0.12813614356690822	0.20239616377255784	0.15	0.25	PASS	10000	10000	20
z_log_gene_length	0.01598175485950985	0.0447511802473702	0.08703778964128149	0.15	0.25	PASS	10000	10000	20
