analysis_id	source	pathway_id	pathway_name	global_pathway_size	C1_n_case	C1_n_control	C1_pathway_case	C1_pathway_control	beta_C1	SE_C1	OR_C1	CI95L_C1	CI95U_C1	P_C1	fit_status_C1	warning_C1	C2_n_case	C2_n_control	C2_pathway_case	C2_pathway_control	beta_C2	SE_C2	OR_C2	CI95L_C2	CI95U_C2	P_C2	fit_status_C2	warning_C2	P_conj	q_conj	direction_pass	conjunction_testable	primary_pass
PRIMARY_RAW_OVERLAP	GO_BP	GO:0000727	double-strand break repair via break-induced replication	12	26	474	1	1	4.09266083800681	1.5047824223002	59.8990615471875	3.13723389252518	1143.65001053391	0.0065327502021347	PASS		26	909	1	1	3.56808445944287	1.46260042459237	35.4486247958494	2.01665521222249	623.113456529859	0.014705634443011	PASS		0.014705634443011	0.0448493048205988	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:0009123	nucleoside monophosphate metabolic process	74	26	474	2	3	2.72236675101128	0.965066644896604	15.2162928379065	2.29531682555003	100.87303205885	0.00478875427385123	PASS		26	909	2	9	1.95705105973573	0.787522103202222	7.07842241216078	1.51215547587436	33.1342012407877	0.0129524342189905	PASS		0.0129524342189905	0.0395910075678622	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:0009126	purine nucleoside monophosphate metabolic process	46	26	474	2	2	2.96491513248714	1.05752207798643	19.3930573310878	2.44051710902103	154.10286256822	0.00505287066906768	PASS		26	909	2	8	2.02481396061838	0.794652995256319	7.57470162074056	1.59571627347019	35.9563323362456	0.010832757052413	PASS		0.010832757052413	0.0331304859347086	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:0009167	purine ribonucleoside monophosphate metabolic process	41	26	474	2	2	2.96491513248714	1.05752207798643	19.3930573310878	2.44051710902103	154.10286256822	0.00505287066906768	PASS		26	909	2	8	2.02481396061838	0.794652995256319	7.57470162074056	1.59571627347019	35.9563323362456	0.010832757052413	PASS		0.010832757052413	0.0331304859347086	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:0045815	transcription initiation-coupled chromatin remodeling	56	26	474	2	3	2.63785252395004	0.963467006315507	13.9831428775043	2.11592462367332	92.4079631878643	0.00618375175114126	PASS		26	909	2	8	1.97018994649287	0.81799605729896	7.17203866256308	1.44332161545531	35.6387225317574	0.0160157349588806	PASS		0.0160157349588806	0.0487629919139101	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:0050856	regulation of T cell receptor signaling pathway	55	26	474	3	10	1.74737205792018	0.726605408596461	5.73949976695772	1.38161295704926	23.8430433116828	0.0161794072575252	PASS		26	909	3	3	3.026831718499	0.881858489868798	20.6317617001248	3.66350682978662	116.191837664878	0.000598412993818655	PASS		0.0161794072575252	0.0492338188461823	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:0141137	positive regulation of gene expression, epigenetic	60	26	474	2	3	2.63785252395004	0.963467006315507	13.9831428775043	2.11592462367332	92.4079631878643	0.00618375175114126	PASS		26	909	2	8	1.97018994649287	0.81799605729896	7.17203866256308	1.44332161545531	35.6387225317574	0.0160157349588806	PASS		0.0160157349588806	0.0487629919139101	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:1902969	mitotic DNA replication	14	26	474	2	4	2.336436241353	0.965287003778188	10.3443061857258	1.5597233709188	68.6049029328909	0.0155009879110586	PASS		26	909	2	1	3.91700954166804	1.25455854750796	50.2499494851502	4.29787180905561	587.513433495121	0.00179491901230231	PASS		0.0155009879110586	0.0472485369772201	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:2000779	regulation of double-strand break repair	145	26	474	3	10	1.81156091186291	0.738326514717991	6.11999274987698	1.43974718785428	26.0145055843912	0.0141432623756645	PASS		26	909	3	14	1.72629139666841	0.671672944115814	5.61977370268321	1.50657161652898	20.9627316238253	0.0101658342499362	PASS		0.0141432623756645	0.0432067152171366	TRUE	TRUE	TRUE
PRIMARY_RAW_OVERLAP	GO_BP	GO:2000781	positive regulation of double-strand break repair	100	26	474	3	8	1.969696863025	0.766896838315177	7.1685031205979	1.59457410228516	32.2264339527271	0.0102169561128783	PASS		26	909	3	11	2.00258026181625	0.691080457727679	7.40814641665828	1.91188077067363	28.7050501121523	0.00375846820940352	PASS		0.0102169561128783	0.031317441403367	TRUE	TRUE	TRUE
