HGNC_id	approved_symbol	IUIS_flag	SFARI_R0_highconf_flag	SFARI_R1_highconf_flag	CoreSeed_flag	R0_group
HGNC:30209	PCP2	0	0	0	0	Background
HGNC:11445	STXBP2	1	0	0	0	IEI_only
HGNC:20389	RETN	0	0	0	0	Background
HGNC:27291	MCEMP1	0	0	0	0	Background
HGNC:23067	TRAPPC5	0	0	0	0	Background
HGNC:3612	FCER2	0	0	0	0	Background
HGNC:24591	CLEC4G	0	0	0	0	Background
HGNC:1641	CD209	0	0	0	0	Background
HGNC:13523	CLEC4M	0	0	0	0	Background
HGNC:30464	EVI5L	0	0	0	0	Background
HGNC:26172	PRR36	0	0	0	0	Background
HGNC:26272	LRRC8E	0	0	0	0	Background
HGNC:6847	MAP2K7	0	0	0	0	Background
HGNC:44152	TGFBR3L	0	0	0	0	Background
HGNC:11135	SNAPC2	0	0	0	0	Background
HGNC:31108	CTXN1	0	0	0	0	Background
HGNC:17316	TIMM44	0	0	0	0	Background
HGNC:3312	ELAVL1	0	0	0	0	Background
HGNC:10624	CCL25	0	0	0	0	Background
HGNC:18794	FBN3	0	0	0	0	Background
HGNC:23747	CERS4	0	0	0	0	Background
HGNC:16692	CD320	0	0	0	0	Background
HGNC:7691	NDUFA7	0	0	0	0	Background
HGNC:10418	RPS28	0	0	0	0	Background
HGNC:24796	KANK3	0	0	0	0	Background
HGNC:16039	ANGPTL4	0	0	0	0	Background
HGNC:9761	RAB11B	0	0	0	0	Background
HGNC:28038	MARCHF2	0	0	0	0	Background
HGNC:5046	HNRNPM	0	0	0	0	Background
HGNC:30091	PRAM1	0	0	0	0	Background
HGNC:20630	ZNF414	0	0	0	0	Background
HGNC:7600	MYO1F	0	0	0	0	Background
HGNC:13201	ADAMTS10	0	0	0	0	Background
HGNC:28494	ACTL9	0	0	0	0	Background
HGNC:15391	OR2Z1	0	0	0	0	Background
HGNC:26422	ZNF558	0	0	0	0	Background
HGNC:15774	MBD3L1	0	0	0	0	Background
HGNC:15582	MUC16	0	0	0	0	Background
HGNC:8220	OR1M1	0	0	0	0	Background
HGNC:8466	OR7G2	0	0	0	0	Background
HGNC:8465	OR7G1	0	0	0	0	Background
HGNC:8467	OR7G3	0	0	0	0	Background
HGNC:13507	ZNF317	0	0	0	0	Background
HGNC:8378	OR7D2	0	0	0	0	Background
HGNC:8380	OR7D4	0	0	0	0	Background
HGNC:8396	OR7E24	0	0	0	0	Background
HGNC:24750	ZNF699	0	0	0	0	Background
HGNC:28197	ZNF559	0	1	1	0	ASD_only
HGNC:42964	ZNF559-ZNF177	0	0	0	0	Background
HGNC:12966	ZNF177	0	0	0	0	Background
HGNC:13059	ZNF266	0	0	0	0	Background
HGNC:26484	ZNF560	0	0	0	0	Background
HGNC:20725	ZNF426	0	0	0	0	Background
HGNC:12904	ZNF121	0	0	0	0	Background
HGNC:28684	ZNF561	0	0	0	0	Background
HGNC:27613	ZNF561-AS1	0	0	0	0	Background
HGNC:25950	ZNF562	0	0	0	0	Background
HGNC:33242	ZNF812P	0	0	0	0	Background
HGNC:27260	ZNF846	0	0	0	0	Background
HGNC:13611	FBXL12	0	0	0	0	Background
HGNC:13736	UBL5	0	0	0	0	Background
HGNC:8988	PIN1	0	0	0	0	Background
HGNC:17189	OLFM2	0	0	0	0	Background
HGNC:14864	COL5A3	0	0	0	0	Background
HGNC:14423	RDH8	0	0	0	0	Background
HGNC:25649	SHFL	0	0	0	0	Background
HGNC:23140	ANGPTL6	0	0	0	0	Background
HGNC:33526	PPAN-P2RY11	0	0	0	0	Background
HGNC:9227	PPAN	0	0	0	0	Background
HGNC:8540	P2RY11	0	0	0	0	Background
HGNC:3274	EIF3G	0	1	1	0	ASD_only
HGNC:2976	DNMT1	0	0	0	0	Background
HGNC:3169	S1PR2	0	0	0	0	Background
HGNC:14276	MRPL4	0	0	0	0	Background
HGNC:5344	ICAM1	0	0	0	0	Background
HGNC:5347	ICAM4	0	0	0	0	Background
HGNC:5348	ICAM5	0	0	0	0	Background
HGNC:37245	ZGLP1	0	0	0	0	Background
HGNC:59021	FDX2-ZGLP1	0	0	0	0	Background
HGNC:30546	FDX2	0	0	0	0	Background
HGNC:30296	RAVER1	0	0	0	0	Background
HGNC:5346	ICAM3	0	0	0	0	Background
HGNC:12440	TYK2	1	0	0	0	IEI_only
HGNC:1735	CDC37	0	0	0	0	Background
HGNC:8780	PDE4A	0	0	0	0	Background
HGNC:23177	KEAP1	0	0	0	0	Background
HGNC:14299	S1PR5	0	0	0	0	Background
HGNC:20789	ATG4D	0	0	0	0	Background
HGNC:25769	KRI1	0	0	0	0	Background
HGNC:1790	CDKN2D	0	0	0	0	Background
HGNC:558	AP1M2	0	0	0	0	Background
HGNC:17292	SLC44A2	0	0	0	0	Background
HGNC:6038	ILF3	0	0	0	0	Background
HGNC:23797	QTRT1	0	0	0	0	Background
HGNC:2974	DNM2	0	0	0	0	Background
HGNC:17291	TMED1	0	0	0	0	Background
HGNC:34073	C19orf38	0	0	0	0	Background
HGNC:23393	CARM1	0	0	0	0	Background
HGNC:28476	YIPF2	0	0	0	0	Background
HGNC:25152	TIMM29	0	0	0	0	Background
HGNC:11100	SMARCA4	0	1	1	0	ASD_only
HGNC:6547	LDLR	0	0	0	0	Background
HGNC:26913	SPC24	0	0	0	0	Background
HGNC:29300	KANK2	0	0	0	0	Background
HGNC:19189	DOCK6	0	0	0	0	Background
HGNC:24933	ANGPTL8	0	0	0	0	Background
HGNC:30725	TSPAN16	0	0	0	0	Background
HGNC:9779	RAB3D	0	0	0	0	Background
HGNC:29631	TMEM205	0	0	0	0	Background
HGNC:26996	CCDC159	0	0	0	0	Background
HGNC:29566	PLPPR2	0	0	0	0	Background
HGNC:26638	SWSAP1	0	0	0	0	Background
HGNC:3416	EPOR	0	0	0	0	Background
HGNC:30282	RGL3	0	0	0	0	Background
HGNC:28303	ODAD3	0	0	0	0	Background
HGNC:9411	PRKCSH	0	0	0	0	Background
HGNC:3314	ELAVL3	0	1	1	0	ASD_only
HGNC:25196	ZNF653	0	0	0	0	Background
HGNC:29548	ECSIT	0	0	0	0	Background
HGNC:2155	CNN1	0	0	0	0	Background
HGNC:28691	ELOF1	0	0	0	0	Background
HGNC:30570	ZNF627	0	0	0	0	Background
HGNC:124	ACP5	1	0	0	0	IEI_only
HGNC:30936	ZNF823	0	0	0	0	Background
HGNC:20875	ZNF441	0	0	0	0	Background
HGNC:23706	ZNF491	0	0	0	0	Background
HGNC:20874	ZNF440	0	0	0	0	Background
HGNC:20873	ZNF439	0	0	0	0	Background
HGNC:13138	ZNF69	0	0	0	0	Background
HGNC:25292	ZNF700	0	0	0	0	Background
HGNC:27614	ZNF763	0	0	0	0	Background
HGNC:20811	ZNF433	0	0	0	0	Background
HGNC:37246	ZNF878	0	0	0	0	Background
HGNC:25932	ZNF844	0	0	0	0	Background
HGNC:33112	ZNF788P	0	0	0	0	Background
HGNC:12992	ZNF20	0	0	0	0	Background
HGNC:48368	ZNF625-ZNF20	0	0	0	0	Background
HGNC:30571	ZNF625	0	0	0	0	Background
HGNC:12920	ZNF136	0	0	0	0	Background
HGNC:13110	ZNF44	0	0	0	0	Background
HGNC:30498	ZNF563	0	0	0	0	Background
HGNC:20877	ZNF442	0	0	0	0	Background
HGNC:28071	ZNF799	0	0	0	0	Background
HGNC:20878	ZNF443	0	0	0	0	Background
HGNC:20629	ZNF709	0	0	0	0	Background
HGNC:31106	ZNF564	0	0	0	0	Background
HGNC:23705	ZNF490	0	0	0	0	Background
HGNC:26895	ZNF791	0	0	0	0	Background
HGNC:6826	MAN2B1	0	0	0	0	Background
HGNC:32672	WDR83	0	0	0	0	Background
HGNC:30203	WDR83OS	0	0	0	0	Background
HGNC:2869	DHPS	0	0	0	0	Background
HGNC:28136	FBXW9	0	0	0	0	Background
HGNC:19998	TNPO2	0	0	0	0	Background
HGNC:28424	TRIR	0	0	0	0	Background
HGNC:752	GET3	0	0	0	0	Background
HGNC:17107	BEST2	0	0	0	0	Background
HGNC:19885	HOOK2	0	0	0	0	Background
HGNC:6205	JUNB	0	0	0	0	Background
HGNC:9353	PRDX2	0	0	0	0	Background
HGNC:18518	RNASEH2A	1	0	0	0	IEI_only
HGNC:30310	RTBDN	0	0	0	0	Background
HGNC:19034	MAST1	0	0	0	0	Background
HGNC:2960	DNASE2	1	0	0	0	IEI_only
HGNC:6345	KLF1	0	0	0	0	Background
HGNC:4189	GCDH	0	0	0	0	Background
HGNC:27411	SYCE2	0	0	0	0	Background
HGNC:3592	FARSA	0	0	0	0	Background
HGNC:1455	CALR	0	0	0	0	Background
HGNC:9812	RAD23A	0	0	0	0	Background
HGNC:29996	GADD45GIP1	0	0	0	0	Background
HGNC:26780	DAND5	0	0	0	0	Background
HGNC:7788	NFIX	0	0	0	0	Background
HGNC:6734	LYL1	0	0	0	0	Background
HGNC:25980	TRMT1	0	0	0	0	Background
HGNC:20967	NACC1	0	1	1	0	ASD_only
HGNC:11428	STX10	0	0	0	0	Background
HGNC:28871	IER2	0	0	0	0	Background
HGNC:1388	CACNA1A	0	1	1	0	ASD_only
HGNC:28118	YJU2B	0	0	0	0	Background
HGNC:28469	MRI1	0	0	0	0	Background
HGNC:24991	C19orf53	0	0	0	0	Background
HGNC:25704	ZSWIM4	0	0	0	0	Background
HGNC:22048	NANOS3	0	0	0	0	Background
HGNC:28153	BRME1	0	0	0	0	Background
HGNC:30237	CC2D1A	0	1	1	0	ASD_only
HGNC:26275	PODNL1	0	0	0	0	Background
HGNC:25095	DCAF15	0	0	0	0	Background
HGNC:9982	RFX1	0	0	0	0	Background
HGNC:17135	RLN3	0	0	0	0	Background
HGNC:17290	IL27RA	1	0	0	0	IEI_only
HGNC:33274	PALM3	0	0	0	0	Background
HGNC:26963	MISP3	0	0	0	0	Background
HGNC:34354	C19orf67	0	0	0	0	Background
HGNC:17958	SAMD1	0	0	0	0	Background
HGNC:9380	PRKACA	0	0	0	0	Background
HGNC:20996	ASF1B	0	0	0	0	Background
HGNC:20973	ADGRL1	0	0	0	0	Background
HGNC:1711	ADGRE5	0	0	0	0	Background
HGNC:17821	DDX39A	0	0	0	0	Background
HGNC:9405	PKN1	0	0	0	0	Background
HGNC:9593	PTGER1	0	0	0	0	Background
HGNC:1226	GIPC1	0	0	0	0	Background
HGNC:5270	DNAJB1	0	0	0	0	Background
HGNC:4551	TECR	0	0	0	0	Background
HGNC:7702	NDUFB7	0	0	0	0	Background
HGNC:34520	CLEC17A	0	0	0	0	Background
HGNC:23647	ADGRE3	0	0	0	0	Background
HGNC:15624	ZNF333	0	0	0	0	Background
HGNC:3337	ADGRE2	0	0	0	0	Background
HGNC:8368	OR7A5	0	0	0	0	Background
HGNC:8373	OR7C1	0	0	0	0	Background
HGNC:8356	OR7A10	0	0	0	0	Background
HGNC:8363	OR7A17	0	0	0	0	Background
HGNC:8374	OR7C2	0	0	0	0	Background
HGNC:10944	SLC1A6	0	0	0	0	Background
HGNC:26866	TEKTL1	0	0	0	0	Background
HGNC:1502	CASP14	0	0	0	0	Background
HGNC:8207	OR1I1	0	0	0	0	Background
HGNC:25824	SYDE1	0	0	0	0	Background
HGNC:6041	HACL2	0	0	0	0	Background
HGNC:7883	NOTCH3	0	0	0	0	Background
HGNC:23760	EPHX3	0	0	0	0	Background
HGNC:13575	BRD4	0	1	1	0	ASD_only
HGNC:378	AKAP8	0	0	0	0	Background
HGNC:29857	AKAP8L	0	0	0	0	Background
HGNC:30917	WIZ	0	0	0	0	Background
HGNC:26129	RASAL3	0	0	0	0	Background
HGNC:30013	PGLYRP2	0	0	0	0	Background
HGNC:26820	CYP4F22	0	0	0	0	Background
HGNC:2646	CYP4F3	0	0	0	0	Background
HGNC:18857	CYP4F12	0	0	0	0	Background
HGNC:8173	OR10H2	0	0	0	0	Background
HGNC:8174	OR10H3	0	0	0	0	Background
HGNC:15389	OR10H5	0	0	0	0	Background
HGNC:8172	OR10H1	0	0	0	0	Background
HGNC:2645	CYP4F2	0	0	0	0	Background
HGNC:13265	CYP4F11	0	0	0	0	Background
HGNC:15388	OR10H4	0	0	0	0	Background
HGNC:12013	TPM4	0	0	0	0	Background
HGNC:7007	RAB8A	0	0	0	0	Background
HGNC:24920	HSH2D	0	0	0	0	Background
HGNC:24580	CIB3	0	0	0	0	Background
HGNC:24563	FAM32A	0	0	0	0	Background
HGNC:13667	AP1M1	0	0	0	0	Background
HGNC:6347	KLF2	0	0	0	0	Background
HGNC:24634	EPS15L1	0	0	0	0	Background
HGNC:20407	CALR3	0	0	0	0	Background
HGNC:26141	C19orf44	0	0	0	0	Background
HGNC:16930	CHERP	0	0	0	0	Background
HGNC:20803	SLC35E1	0	0	0	0	Background
HGNC:2376	MED26	0	0	0	0	Background
HGNC:28419	SMIM7	0	0	0	0	Background
HGNC:28462	TMEM38A	0	0	0	0	Background
HGNC:27619	NWD1	0	0	0	0	Background
HGNC:19354	SIN3B	0	1	1	0	ASD_only
HGNC:3540	F2RL3	0	0	0	0	Background
HGNC:23228	CPAMD8	0	0	0	0	Background
HGNC:30532	HAUS8	0	0	0	0	Background
HGNC:7609	MYO9B	0	1	1	0	ASD_only
HGNC:30882	USE1	0	0	0	0	Background
HGNC:26221	OCEL1	0	0	0	0	Background
HGNC:7977	NR2F6	0	0	0	0	Background
HGNC:24058	USHBP1	0	0	0	0	Background
HGNC:25008	BABAM1	0	0	0	0	Background
HGNC:26812	ANKLE1	0	0	0	0	Background
HGNC:23759	ABHD8	0	0	0	0	Background
HGNC:14488	MRPL34	0	0	0	0	Background
HGNC:28360	DDA1	0	0	0	0	Background
HGNC:29329	ANO8	0	0	0	0	Background
HGNC:14880	GTPBP3	0	0	0	0	Background
HGNC:13635	PLVAP	0	0	0	0	Background
HGNC:1119	BST2	0	0	0	0	Background
HGNC:25153	MVB12A	0	0	0	0	Background
HGNC:21943	TMEM221	0	0	0	0	Background
HGNC:25179	NXNL1	0	0	0	0	Background
HGNC:10995	SLC27A1	0	0	0	0	Background
HGNC:8903	PGLS	0	0	0	0	Background
HGNC:24130	NIBAN3	0	0	0	0	Background
HGNC:26182	COLGALT1	0	0	0	0	Background
HGNC:23150	UNC13A	0	1	1	0	ASD_only
HGNC:15715	MAP1S	0	0	0	0	Background
HGNC:29002	FCHO1	1	0	0	0	IEI_only
HGNC:13528	B3GNT3	0	0	0	0	Background
HGNC:6086	INSL3	0	0	0	0	Background
HGNC:6193	JAK3	1	0	0	0	IEI_only
HGNC:10311	RPL18A	0	0	0	0	Background
HGNC:11040	SLC5A5	0	0	0	0	Background
HGNC:25171	CCDC124	0	0	0	0	Background
HGNC:6290	KCNN1	0	0	0	0	Background
HGNC:25225	ARRDC2	0	0	0	0	Background
HGNC:5971	IL12RB1	1	0	0	0	IEI_only
HGNC:19036	MAST3	0	0	0	0	Background
HGNC:8980	PIK3R2	0	0	0	0	Background
HGNC:5398	IFI30	0	0	0	0	Background
HGNC:28177	MPV17L2	0	0	0	0	Background
HGNC:9777	RAB3A	0	0	0	0	Background
HGNC:8782	PDE4C	0	0	0	0	Background
HGNC:29350	IQCN	0	0	0	0	Background
HGNC:6206	JUND	0	0	0	0	Background
HGNC:17259	LSM4	0	0	0	0	Background
HGNC:13568	PGPEP1	0	0	0	0	Background
HGNC:30142	GDF15	0	0	0	0	Background
HGNC:29806	LRRC25	0	0	0	0	Background
HGNC:15676	SSBP4	0	0	0	0	Background
HGNC:29821	ISYNA1	0	0	0	0	Background
HGNC:23114	ELL	0	0	0	0	Background
HGNC:3724	FKBP8	0	0	0	0	Background
HGNC:28420	KXD1	0	0	0	0	Background
HGNC:12458	UBA52	0	0	0	0	Background
HGNC:2364	CRLF1	0	0	0	0	Background
HGNC:26098	REX1BD	0	0	0	0	Background
HGNC:13237	TMEM59L	0	0	0	0	Background
HGNC:25623	KLHL26	0	0	0	0	Background
HGNC:16062	CRTC1	0	0	0	0	Background
HGNC:2227	COMP	0	0	0	0	Background
HGNC:9962	UPF1	0	0	0	0	Background
HGNC:4214	GDF1	0	0	0	0	Background
HGNC:14253	CERS1	0	0	0	0	Background
