source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0008207	C21-steroid hormone metabolic process	24	1
GO_BP	GO:0008209	androgen metabolic process	23	1
GO_BP	GO:0008210	estrogen metabolic process	41	1
GO_BP	GO:0008211	glucocorticoid metabolic process	12	1
GO_BP	GO:0008212	mineralocorticoid metabolic process	5	0
GO_BP	GO:0008213	protein alkylation	25	1
GO_BP	GO:0008214	protein dealkylation	1	0
GO_BP	GO:0008215	spermine metabolic process	6	0
GO_BP	GO:0008216	spermidine metabolic process	5	0
GO_BP	GO:0008217	regulation of blood pressure	156	1
GO_BP	GO:0008219	cell death	594	0
GO_BP	GO:0008228	opsonization	9	0
GO_BP	GO:0008277	regulation of G protein-coupled receptor signaling pathway	153	1
GO_BP	GO:0008283	cell population proliferation	323	1
GO_BP	GO:0008284	positive regulation of cell population proliferation	772	0
GO_BP	GO:0008285	negative regulation of cell population proliferation	562	0
GO_BP	GO:0008286	insulin receptor signaling pathway	61	1
GO_BP	GO:0008291	acetylcholine metabolic process	6	0
GO_BP	GO:0008292	acetylcholine biosynthetic process	3	0
GO_BP	GO:0008295	spermidine biosynthetic process	3	0
GO_BP	GO:0008298	intracellular mRNA localization	7	0
GO_BP	GO:0008299	isoprenoid biosynthetic process	29	1
GO_BP	GO:0008300	isoprenoid catabolic process	9	0
GO_BP	GO:0008306	associative learning	54	1
GO_BP	GO:0008315	G2/MI transition of meiotic cell cycle	1	0
GO_BP	GO:0008333	endosome to lysosome transport	61	1
GO_BP	GO:0008334	histone mRNA metabolic process	28	1
GO_BP	GO:0008340	determination of adult lifespan	6	0
GO_BP	GO:0008343	adult feeding behavior	7	0
GO_BP	GO:0008344	adult locomotory behavior	22	1
GO_BP	GO:0008347	glial cell migration	31	1
GO_BP	GO:0008348	negative regulation of antimicrobial humoral response	1	0
GO_BP	GO:0008354	primordial germ cell migration	3	0
GO_BP	GO:0008355	olfactory learning	1	0
GO_BP	GO:0008356	asymmetric cell division	13	1
GO_BP	GO:0008358	maternal determination of anterior/posterior axis, embryo	6	0
GO_BP	GO:0008360	regulation of cell shape	98	1
GO_BP	GO:0008361	regulation of cell size	134	1
GO_BP	GO:0008366	axon ensheathment	89	1
GO_BP	GO:0008380	RNA splicing	316	1
GO_BP	GO:0008406	gonad development	122	1
GO_BP	GO:0008535	respiratory chain complex IV assembly	33	1
GO_BP	GO:0008542	visual learning	24	1
GO_BP	GO:0008543	fibroblast growth factor receptor signaling pathway	43	1
GO_BP	GO:0008544	epidermis development	234	1
GO_BP	GO:0008582	regulation of synaptic assembly at neuromuscular junction	7	0
GO_BP	GO:0008584	male gonad development	78	1
GO_BP	GO:0008585	female gonad development	54	1
GO_BP	GO:0008589	regulation of smoothened signaling pathway	83	1
GO_BP	GO:0008591	regulation of Wnt signaling pathway, calcium modulating pathway	1	0
GO_BP	GO:0008592	regulation of Toll signaling pathway	6	0
GO_BP	GO:0008593	regulation of Notch signaling pathway	87	1
GO_BP	GO:0008594	photoreceptor cell morphogenesis	4	0
GO_BP	GO:0008595	anterior/posterior axis specification, embryo	18	1
GO_BP	GO:0008608	attachment of spindle microtubules to kinetochore	35	1
GO_BP	GO:0008610	lipid biosynthetic process	538	0
GO_BP	GO:0008611	ether lipid biosynthetic process	11	1
GO_BP	GO:0008612	peptidyl-hypusine biosynthetic process	2	0
GO_BP	GO:0008614	pyridoxine metabolic process	2	0
GO_BP	GO:0008615	pyridoxine biosynthetic process	2	0
GO_BP	GO:0008616	tRNA queuosine(34) biosynthetic process	2	0
GO_BP	GO:0008617	guanosine metabolic process	2	0
GO_BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	36	1
GO_BP	GO:0008626	granzyme-mediated apoptotic signaling pathway	7	0
GO_BP	GO:0008627	intrinsic apoptotic signaling pathway in response to osmotic stress	2	0
GO_BP	GO:0008628	hormone-mediated apoptotic signaling pathway	3	0
GO_BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	62	1
GO_BP	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	16	1
GO_BP	GO:0008637	apoptotic mitochondrial changes	50	1
GO_BP	GO:0008643	carbohydrate transport	54	1
GO_BP	GO:0008645	hexose transmembrane transport	37	1
GO_BP	GO:0008652	amino acid biosynthetic process	54	1
GO_BP	GO:0008653	lipopolysaccharide metabolic process	1	0
GO_BP	GO:0008654	phospholipid biosynthetic process	233	1
GO_BP	GO:0008655	pyrimidine-containing compound salvage	10	1
GO_BP	GO:0009048	dosage compensation by inactivation of X chromosome	18	1
GO_BP	GO:0009051	pentose-phosphate shunt, oxidative branch	4	0
GO_BP	GO:0009052	pentose-phosphate shunt, non-oxidative branch	6	0
GO_BP	GO:0009056	catabolic process	1973	0
GO_BP	GO:0009057	macromolecule catabolic process	1094	0
GO_BP	GO:0009058	biosynthetic process	3597	0
GO_BP	GO:0009059	macromolecule biosynthetic process	2612	0
GO_BP	GO:0009060	aerobic respiration	182	1
GO_BP	GO:0009062	fatty acid catabolic process	79	1
GO_BP	GO:0009063	amino acid catabolic process	114	1
GO_BP	GO:0009067	aspartate family amino acid biosynthetic process	13	1
GO_BP	GO:0009070	serine family amino acid biosynthetic process	11	1
GO_BP	GO:0009072	aromatic amino acid metabolic process	30	1
GO_BP	GO:0009073	aromatic amino acid biosynthetic process	2	0
GO_BP	GO:0009074	aromatic amino acid catabolic process	22	1
GO_BP	GO:0009079	pyruvate family amino acid biosynthetic process	1	0
GO_BP	GO:0009081	branched-chain amino acid metabolic process	28	1
GO_BP	GO:0009082	branched-chain amino acid biosynthetic process	2	0
GO_BP	GO:0009083	branched-chain amino acid catabolic process	26	1
GO_BP	GO:0009084	glutamate family amino acid biosynthetic process	16	1
GO_BP	GO:0009087	L-methionine catabolic process	1	0
GO_BP	GO:0009100	glycoprotein metabolic process	318	1
GO_BP	GO:0009101	glycoprotein biosynthetic process	263	1
GO_BP	GO:0009104	lipopolysaccharide catabolic process	1	0
GO_BP	GO:0009106	lipoate metabolic process	2	0
GO_BP	GO:0009107	lipoate biosynthetic process	2	0
GO_BP	GO:0009110	vitamin biosynthetic process	16	1
GO_BP	GO:0009111	vitamin catabolic process	15	1
GO_BP	GO:0009112	nucleobase metabolic process	30	1
GO_BP	GO:0009113	purine nucleobase biosynthetic process	10	1
GO_BP	GO:0009114	hypoxanthine catabolic process	1	0
GO_BP	GO:0009115	xanthine catabolic process	1	0
GO_BP	GO:0009116	nucleoside metabolic process	49	1
GO_BP	GO:0009117	nucleotide metabolic process	397	1
GO_BP	GO:0009119	ribonucleoside metabolic process	28	1
GO_BP	GO:0009120	2'-deoxyribonucleoside metabolic process	9	0
GO_BP	GO:0009123	nucleoside monophosphate metabolic process	74	1
GO_BP	GO:0009124	nucleoside monophosphate biosynthetic process	44	1
GO_BP	GO:0009125	nucleoside monophosphate catabolic process	22	1
GO_BP	GO:0009126	purine nucleoside monophosphate metabolic process	46	1
GO_BP	GO:0009127	purine nucleoside monophosphate biosynthetic process	22	1
GO_BP	GO:0009128	purine nucleoside monophosphate catabolic process	13	1
GO_BP	GO:0009129	pyrimidine nucleoside monophosphate metabolic process	26	1
GO_BP	GO:0009130	pyrimidine nucleoside monophosphate biosynthetic process	19	1
GO_BP	GO:0009131	pyrimidine nucleoside monophosphate catabolic process	10	1
GO_BP	GO:0009132	nucleoside diphosphate metabolic process	74	1
GO_BP	GO:0009133	nucleoside diphosphate biosynthetic process	13	1
GO_BP	GO:0009134	nucleoside diphosphate catabolic process	49	1
GO_BP	GO:0009135	purine nucleoside diphosphate metabolic process	56	1
GO_BP	GO:0009136	purine nucleoside diphosphate biosynthetic process	6	0
GO_BP	GO:0009137	purine nucleoside diphosphate catabolic process	42	1
GO_BP	GO:0009138	pyrimidine nucleoside diphosphate metabolic process	11	1
GO_BP	GO:0009139	pyrimidine nucleoside diphosphate biosynthetic process	7	0
GO_BP	GO:0009140	pyrimidine nucleoside diphosphate catabolic process	4	0
GO_BP	GO:0009141	nucleoside triphosphate metabolic process	184	1
GO_BP	GO:0009142	nucleoside triphosphate biosynthetic process	101	1
GO_BP	GO:0009143	nucleoside triphosphate catabolic process	6	0
GO_BP	GO:0009144	purine nucleoside triphosphate metabolic process	177	1
GO_BP	GO:0009145	purine nucleoside triphosphate biosynthetic process	90	1
GO_BP	GO:0009146	purine nucleoside triphosphate catabolic process	4	0
GO_BP	GO:0009147	pyrimidine nucleoside triphosphate metabolic process	25	1
GO_BP	GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	20	1
GO_BP	GO:0009149	pyrimidine nucleoside triphosphate catabolic process	3	0
GO_BP	GO:0009150	purine ribonucleotide metabolic process	268	1
GO_BP	GO:0009151	purine deoxyribonucleotide metabolic process	20	1
GO_BP	GO:0009152	purine ribonucleotide biosynthetic process	139	1
GO_BP	GO:0009153	purine deoxyribonucleotide biosynthetic process	6	0
GO_BP	GO:0009154	purine ribonucleotide catabolic process	68	1
GO_BP	GO:0009155	purine deoxyribonucleotide catabolic process	13	1
GO_BP	GO:0009156	ribonucleoside monophosphate biosynthetic process	35	1
GO_BP	GO:0009157	deoxyribonucleoside monophosphate biosynthetic process	11	1
GO_BP	GO:0009158	ribonucleoside monophosphate catabolic process	19	1
GO_BP	GO:0009159	deoxyribonucleoside monophosphate catabolic process	18	1
GO_BP	GO:0009163	nucleoside biosynthetic process	17	1
GO_BP	GO:0009164	nucleoside catabolic process	13	1
GO_BP	GO:0009165	nucleotide biosynthetic process	199	1
GO_BP	GO:0009166	nucleotide catabolic process	106	1
GO_BP	GO:0009167	purine ribonucleoside monophosphate metabolic process	41	1
GO_BP	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	19	1
GO_BP	GO:0009169	purine ribonucleoside monophosphate catabolic process	12	1
GO_BP	GO:0009170	purine deoxyribonucleoside monophosphate metabolic process	15	1
GO_BP	GO:0009171	purine deoxyribonucleoside monophosphate biosynthetic process	4	0
GO_BP	GO:0009172	purine deoxyribonucleoside monophosphate catabolic process	9	0
GO_BP	GO:0009173	pyrimidine ribonucleoside monophosphate metabolic process	18	1
GO_BP	GO:0009174	pyrimidine ribonucleoside monophosphate biosynthetic process	12	1
GO_BP	GO:0009175	pyrimidine ribonucleoside monophosphate catabolic process	9	0
GO_BP	GO:0009176	pyrimidine deoxyribonucleoside monophosphate metabolic process	17	1
GO_BP	GO:0009177	pyrimidine deoxyribonucleoside monophosphate biosynthetic process	7	0
GO_BP	GO:0009178	pyrimidine deoxyribonucleoside monophosphate catabolic process	10	1
GO_BP	GO:0009179	purine ribonucleoside diphosphate metabolic process	56	1
GO_BP	GO:0009180	purine ribonucleoside diphosphate biosynthetic process	6	0
GO_BP	GO:0009181	purine ribonucleoside diphosphate catabolic process	42	1
GO_BP	GO:0009182	purine deoxyribonucleoside diphosphate metabolic process	3	0
GO_BP	GO:0009183	purine deoxyribonucleoside diphosphate biosynthetic process	2	0
GO_BP	GO:0009184	purine deoxyribonucleoside diphosphate catabolic process	1	0
GO_BP	GO:0009185	ribonucleoside diphosphate metabolic process	70	1
GO_BP	GO:0009187	cyclic nucleotide metabolic process	47	1
GO_BP	GO:0009188	ribonucleoside diphosphate biosynthetic process	11	1
GO_BP	GO:0009189	deoxyribonucleoside diphosphate biosynthetic process	4	0
GO_BP	GO:0009190	cyclic nucleotide biosynthetic process	25	1
GO_BP	GO:0009191	ribonucleoside diphosphate catabolic process	48	1
GO_BP	GO:0009192	deoxyribonucleoside diphosphate catabolic process	1	0
GO_BP	GO:0009193	pyrimidine ribonucleoside diphosphate metabolic process	9	0
GO_BP	GO:0009194	pyrimidine ribonucleoside diphosphate biosynthetic process	5	0
GO_BP	GO:0009195	pyrimidine ribonucleoside diphosphate catabolic process	4	0
GO_BP	GO:0009196	pyrimidine deoxyribonucleoside diphosphate metabolic process	2	0
GO_BP	GO:0009197	pyrimidine deoxyribonucleoside diphosphate biosynthetic process	2	0
GO_BP	GO:0009200	deoxyribonucleoside triphosphate metabolic process	12	1
GO_BP	GO:0009201	ribonucleoside triphosphate biosynthetic process	98	1
GO_BP	GO:0009202	deoxyribonucleoside triphosphate biosynthetic process	5	0
GO_BP	GO:0009203	ribonucleoside triphosphate catabolic process	6	0
GO_BP	GO:0009204	deoxyribonucleoside triphosphate catabolic process	6	0
GO_BP	GO:0009205	purine ribonucleoside triphosphate metabolic process	172	1
GO_BP	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	90	1
GO_BP	GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	19	1
GO_BP	GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process	16	1
GO_BP	GO:0009210	pyrimidine ribonucleoside triphosphate catabolic process	1	0
GO_BP	GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process	7	0
GO_BP	GO:0009212	pyrimidine deoxyribonucleoside triphosphate biosynthetic process	5	0
GO_BP	GO:0009213	pyrimidine deoxyribonucleoside triphosphate catabolic process	2	0
GO_BP	GO:0009214	cyclic nucleotide catabolic process	15	1
GO_BP	GO:0009215	purine deoxyribonucleoside triphosphate metabolic process	4	0
GO_BP	GO:0009217	purine deoxyribonucleoside triphosphate catabolic process	3	0
GO_BP	GO:0009218	pyrimidine ribonucleotide metabolic process	35	1
GO_BP	GO:0009219	pyrimidine deoxyribonucleotide metabolic process	30	1
GO_BP	GO:0009220	pyrimidine ribonucleotide biosynthetic process	24	1
GO_BP	GO:0009221	pyrimidine deoxyribonucleotide biosynthetic process	11	1
GO_BP	GO:0009222	pyrimidine ribonucleotide catabolic process	13	1
GO_BP	GO:0009223	pyrimidine deoxyribonucleotide catabolic process	20	1
GO_BP	GO:0009224	CMP biosynthetic process	4	0
GO_BP	GO:0009225	nucleotide-sugar metabolic process	41	1
GO_BP	GO:0009226	nucleotide-sugar biosynthetic process	28	1
GO_BP	GO:0009228	thiamine biosynthetic process	1	0
GO_BP	GO:0009229	thiamine diphosphate biosynthetic process	5	0
GO_BP	GO:0009231	riboflavin biosynthetic process	1	0
GO_BP	GO:0009233	menaquinone metabolic process	5	0
GO_BP	GO:0009234	menaquinone biosynthetic process	1	0
GO_BP	GO:0009235	cobalamin metabolic process	9	0
GO_BP	GO:0009237	siderophore metabolic process	1	0
GO_BP	GO:0009240	isopentenyl diphosphate biosynthetic process	7	0
GO_BP	GO:0009247	glycolipid biosynthetic process	83	1
GO_BP	GO:0009249	protein lipoylation	5	0
GO_BP	GO:0009250	glucan biosynthetic process	14	1
GO_BP	GO:0009251	glucan catabolic process	24	1
GO_BP	GO:0009253	peptidoglycan catabolic process	6	0
GO_BP	GO:0009256	10-formyltetrahydrofolate metabolic process	5	0
GO_BP	GO:0009257	10-formyltetrahydrofolate biosynthetic process	2	0
GO_BP	GO:0009258	10-formyltetrahydrofolate catabolic process	3	0
GO_BP	GO:0009259	ribonucleotide metabolic process	290	1
GO_BP	GO:0009260	ribonucleotide biosynthetic process	155	1
GO_BP	GO:0009261	ribonucleotide catabolic process	78	1
GO_BP	GO:0009262	deoxyribonucleotide metabolic process	7	0
GO_BP	GO:0009263	deoxyribonucleotide biosynthetic process	3	0
GO_BP	GO:0009264	deoxyribonucleotide catabolic process	4	0
GO_BP	GO:0009265	2'-deoxyribonucleotide biosynthetic process	18	1
GO_BP	GO:0009266	response to temperature stimulus	123	1
GO_BP	GO:0009267	cellular response to starvation	172	1
GO_BP	GO:0009268	response to pH	42	1
GO_BP	GO:0009298	GDP-mannose biosynthetic process	6	0
GO_BP	GO:0009299	mRNA transcription	48	1
GO_BP	GO:0009301	snRNA transcription	15	1
GO_BP	GO:0009303	rRNA transcription	30	1
GO_BP	GO:0009304	tRNA transcription	12	1
GO_BP	GO:0009306	protein secretion	90	1
GO_BP	GO:0009308	amine metabolic process	65	1
GO_BP	GO:0009309	amine biosynthetic process	29	1
GO_BP	GO:0009310	amine catabolic process	18	1
GO_BP	GO:0009311	oligosaccharide metabolic process	59	1
GO_BP	GO:0009312	oligosaccharide biosynthetic process	26	1
GO_BP	GO:0009313	oligosaccharide catabolic process	13	1
GO_BP	GO:0009314	response to radiation	353	1
GO_BP	GO:0009386	translational attenuation	2	0
GO_BP	GO:0009394	2'-deoxyribonucleotide metabolic process	50	1
GO_BP	GO:0009395	phospholipid catabolic process	49	1
GO_BP	GO:0009396	folic acid-containing compound biosynthetic process	17	1
GO_BP	GO:0009397	folic acid-containing compound catabolic process	4	0
GO_BP	GO:0009398	FMN biosynthetic process	1	0
GO_BP	GO:0009403	toxin biosynthetic process	1	0
GO_BP	GO:0009404	toxin metabolic process	19	1
GO_BP	GO:0009407	toxin catabolic process	7	0
GO_BP	GO:0009408	response to heat	75	1
GO_BP	GO:0009409	response to cold	29	1
GO_BP	GO:0009410	response to xenobiotic stimulus	344	1
GO_BP	GO:0009411	response to UV	130	1
GO_BP	GO:0009414	response to water deprivation	4	0
GO_BP	GO:0009415	response to water	11	1
GO_BP	GO:0009416	response to light stimulus	255	1
GO_BP	GO:0009435	NAD+ biosynthetic process	18	1
GO_BP	GO:0009436	glyoxylate catabolic process	3	0
GO_BP	GO:0009437	carnitine metabolic process	14	1
GO_BP	GO:0009438	methylglyoxal metabolic process	6	0
GO_BP	GO:0009440	cyanate catabolic process	2	0
GO_BP	GO:0009441	glycolate metabolic process	3	0
GO_BP	GO:0009443	pyridoxal 5'-phosphate salvage	1	0
GO_BP	GO:0009445	putrescine metabolic process	6	0
GO_BP	GO:0009446	putrescine biosynthetic process	4	0
GO_BP	GO:0009447	putrescine catabolic process	2	0
GO_BP	GO:0009449	GABA biosynthetic process	2	0
GO_BP	GO:0009450	GABA catabolic process	2	0
GO_BP	GO:0009451	RNA modification	175	1
GO_BP	GO:0009452	7-methylguanosine RNA capping	6	0
GO_BP	GO:0009566	fertilization	114	1
GO_BP	GO:0009581	detection of external stimulus	111	1
GO_BP	GO:0009582	detection of abiotic stimulus	114	1
GO_BP	GO:0009583	detection of light stimulus	53	1
GO_BP	GO:0009584	detection of visible light	28	1
GO_BP	GO:0009589	detection of UV	1	0
GO_BP	GO:0009593	detection of chemical stimulus	457	1
GO_BP	GO:0009595	detection of biotic stimulus	37	1
GO_BP	GO:0009597	detection of virus	4	0
GO_BP	GO:0009605	response to external stimulus	1533	0
GO_BP	GO:0009607	response to biotic stimulus	1116	0
GO_BP	GO:0009608	response to symbiont	6	0
GO_BP	GO:0009609	response to symbiotic bacterium	4	0
GO_BP	GO:0009611	response to wounding	342	1
GO_BP	GO:0009612	response to mechanical stimulus	197	1
GO_BP	GO:0009615	response to virus	330	1
GO_BP	GO:0009617	response to bacterium	510	0
GO_BP	GO:0009620	response to fungus	56	1
GO_BP	GO:0009624	response to nematode	2	0
GO_BP	GO:0009628	response to abiotic stimulus	939	0
GO_BP	GO:0009629	response to gravity	6	0
GO_BP	GO:0009631	cold acclimation	3	0
GO_BP	GO:0009635	response to herbicide	5	0
GO_BP	GO:0009636	response to toxic substance	232	1
GO_BP	GO:0009637	response to blue light	7	0
GO_BP	GO:0009642	response to light intensity	11	1
GO_BP	GO:0009644	response to high light intensity	3	0
GO_BP	GO:0009645	response to low light intensity stimulus	1	0
GO_BP	GO:0009648	photoperiodism	28	1
GO_BP	GO:0009649	entrainment of circadian clock	26	1
GO_BP	GO:0009650	UV protection	9	0
GO_BP	GO:0009651	response to salt stress	14	1
GO_BP	GO:0009653	anatomical structure morphogenesis	1526	0
GO_BP	GO:0009692	ethylene metabolic process	1	0
GO_BP	GO:0009698	phenylpropanoid metabolic process	7	0
GO_BP	GO:0009712	catechol-containing compound metabolic process	29	1
GO_BP	GO:0009713	catechol-containing compound biosynthetic process	12	1
GO_BP	GO:0009719	response to endogenous stimulus	1095	0
GO_BP	GO:0009725	response to hormone	739	0
GO_BP	GO:0009743	response to carbohydrate	143	1
GO_BP	GO:0009744	response to sucrose	4	0
GO_BP	GO:0009746	response to hexose	117	1
GO_BP	GO:0009749	response to glucose	110	1
GO_BP	GO:0009750	response to fructose	9	0
GO_BP	GO:0009751	response to salicylic acid	1	0
GO_BP	GO:0009753	response to jasmonic acid	4	0
GO_BP	GO:0009755	hormone-mediated signaling pathway	133	1
GO_BP	GO:0009756	carbohydrate mediated signaling	9	0
GO_BP	GO:0009757	hexose mediated signaling	7	0
GO_BP	GO:0009785	blue light signaling pathway	2	0
GO_BP	GO:0009786	regulation of asymmetric cell division	2	0
GO_BP	GO:0009787	regulation of abscisic acid-activated signaling pathway	1	0
GO_BP	GO:0009789	positive regulation of abscisic acid-activated signaling pathway	1	0
GO_BP	GO:0009790	embryo development	530	0
GO_BP	GO:0009791	post-embryonic development	13	1
GO_BP	GO:0009792	embryo development ending in birth or egg hatching	244	1
GO_BP	GO:0009794	regulation of mitotic cell cycle, embryonic	3	0
GO_BP	GO:0009798	axis specification	66	1
GO_BP	GO:0009799	specification of symmetry	87	1
GO_BP	GO:0009804	coumarin metabolic process	7	0
GO_BP	GO:0009812	flavonoid metabolic process	15	1
GO_BP	GO:0009820	alkaloid metabolic process	18	1
GO_BP	GO:0009822	alkaloid catabolic process	5	0
GO_BP	GO:0009826	unidimensional cell growth	2	0
GO_BP	GO:0009855	determination of bilateral symmetry	87	1
GO_BP	GO:0009880	embryonic pattern specification	50	1
GO_BP	GO:0009886	post-embryonic animal morphogenesis	1	0
GO_BP	GO:0009887	animal organ morphogenesis	572	0
GO_BP	GO:0009888	tissue development	1191	0
GO_BP	GO:0009889	regulation of biosynthetic process	4865	0
GO_BP	GO:0009890	negative regulation of biosynthetic process	2142	0
GO_BP	GO:0009891	positive regulation of biosynthetic process	2538	0
GO_BP	GO:0009892	negative regulation of metabolic process	2613	0
GO_BP	GO:0009893	positive regulation of metabolic process	3256	0
GO_BP	GO:0009894	regulation of catabolic process	1024	0
GO_BP	GO:0009895	negative regulation of catabolic process	347	1
GO_BP	GO:0009896	positive regulation of catabolic process	527	0
GO_BP	GO:0009912	auditory receptor cell fate commitment	1	0
GO_BP	GO:0009913	epidermal cell differentiation	127	1
GO_BP	GO:0009914	hormone transport	72	1
GO_BP	GO:0009932	cell tip growth	1	0
GO_BP	GO:0009946	proximal/distal axis specification	1	0
GO_BP	GO:0009948	anterior/posterior axis specification	41	1
GO_BP	GO:0009949	polarity specification of anterior/posterior axis	1	0
GO_BP	GO:0009950	dorsal/ventral axis specification	8	0
GO_BP	GO:0009952	anterior/posterior pattern specification	103	1
GO_BP	GO:0009953	dorsal/ventral pattern formation	40	1
GO_BP	GO:0009954	proximal/distal pattern formation	13	1
GO_BP	GO:0009966	regulation of signal transduction	2902	0
GO_BP	GO:0009967	positive regulation of signal transduction	1517	0
GO_BP	GO:0009968	negative regulation of signal transduction	1266	0
GO_BP	GO:0009987	cellular process	14480	0
GO_BP	GO:0009988	cell-cell recognition	42	1
GO_BP	GO:0009992	intracellular water homeostasis	8	0
GO_BP	GO:0009994	oocyte differentiation	41	1
GO_BP	GO:0009996	negative regulation of cell fate specification	3	0
GO_BP	GO:0010001	glial cell differentiation	128	1
GO_BP	GO:0010002	cardioblast differentiation	11	1
GO_BP	GO:0010025	wax biosynthetic process	4	0
GO_BP	GO:0010032	meiotic chromosome condensation	3	0
GO_BP	GO:0010034	response to acetate	1	0
GO_BP	GO:0010037	response to carbon dioxide	3	0
GO_BP	GO:0010038	response to metal ion	308	1
GO_BP	GO:0010039	response to iron ion	31	1
GO_BP	GO:0010040	response to iron(II) ion	7	0
GO_BP	GO:0010041	response to iron(III) ion	3	0
GO_BP	GO:0010042	response to manganese ion	16	1
GO_BP	GO:0010043	response to zinc ion	48	1
GO_BP	GO:0010044	response to aluminum ion	3	0
GO_BP	GO:0010045	response to nickel cation	1	0
GO_BP	GO:0010046	response to mycotoxin	3	0
GO_BP	GO:0010070	zygote asymmetric cell division	1	0
GO_BP	GO:0010092	specification of animal organ identity	10	1
GO_BP	GO:0010124	phenylacetate catabolic process	1	0
GO_BP	GO:0010138	pyrimidine ribonucleotide salvage	7	0
GO_BP	GO:0010139	pyrimidine deoxyribonucleotide salvage	1	0
GO_BP	GO:0010155	regulation of proton transport	3	0
GO_BP	GO:0010157	response to chlorate	1	0
GO_BP	GO:0010160	formation of animal organ boundary	1	0
GO_BP	GO:0010165	response to X-ray	19	1
GO_BP	GO:0010166	wax metabolic process	4	0
GO_BP	GO:0010171	body morphogenesis	25	1
GO_BP	GO:0010172	embryonic body morphogenesis	5	0
GO_BP	GO:0010182	sugar mediated signaling pathway	7	0
GO_BP	GO:0010185	regulation of cellular defense response	1	0
GO_BP	GO:0010186	positive regulation of cellular defense response	1	0
GO_BP	GO:0010193	response to ozone	4	0
GO_BP	GO:0010212	response to ionizing radiation	112	1
GO_BP	GO:0010224	response to UV-B	18	1
GO_BP	GO:0010225	response to UV-C	10	1
GO_BP	GO:0010226	response to lithium ion	8	0
GO_BP	GO:0010232	vascular transport	87	1
GO_BP	GO:0010248	establishment or maintenance of transmembrane electrochemical gradient	16	1
GO_BP	GO:0010255	glucose mediated signaling pathway	7	0
GO_BP	GO:0010256	endomembrane system organization	498	1
GO_BP	GO:0010257	NADH dehydrogenase complex assembly	40	1
GO_BP	GO:0010265	SCF complex assembly	2	0
GO_BP	GO:0010266	response to vitamin B1	3	0
GO_BP	GO:0010269	response to selenium ion	5	0
GO_BP	GO:0010273	detoxification of copper ion	16	1
GO_BP	GO:0010286	heat acclimation	5	0
GO_BP	GO:0010288	response to lead ion	19	1
GO_BP	GO:0010310	regulation of hydrogen peroxide metabolic process	16	1
GO_BP	GO:0010312	detoxification of zinc ion	2	0
GO_BP	GO:0010324	membrane invagination	46	1
GO_BP	GO:0010332	response to gamma radiation	35	1
GO_BP	GO:0010335	response to non-ionic osmotic stress	1	0
GO_BP	GO:0010351	lithium ion transport	1	0
GO_BP	GO:0010360	negative regulation of anion channel activity	2	0
GO_BP	GO:0010387	COP9 signalosome assembly	5	0
GO_BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	93	1
GO_BP	GO:0010421	hydrogen peroxide-mediated programmed cell death	3	0
GO_BP	GO:0010430	fatty acid omega-oxidation	6	0
GO_BP	GO:0010446	response to alkaline pH	4	0
GO_BP	GO:0010447	response to acidic pH	27	1
GO_BP	GO:0010453	regulation of cell fate commitment	36	1
GO_BP	GO:0010454	negative regulation of cell fate commitment	10	1
GO_BP	GO:0010455	positive regulation of cell fate commitment	10	1
GO_BP	GO:0010457	centriole-centriole cohesion	13	1
GO_BP	GO:0010458	exit from mitosis	11	1
GO_BP	GO:0010459	negative regulation of heart rate	11	1
GO_BP	GO:0010460	positive regulation of heart rate	23	1
GO_BP	GO:0010463	mesenchymal cell proliferation	11	1
GO_BP	GO:0010464	regulation of mesenchymal cell proliferation	16	1
GO_BP	GO:0010466	negative regulation of peptidase activity	12	1
GO_BP	GO:0010467	gene expression	2240	0
GO_BP	GO:0010468	regulation of gene expression	4563	0
GO_BP	GO:0010469	regulation of signaling receptor activity	43	1
GO_BP	GO:0010470	regulation of gastrulation	8	0
GO_BP	GO:0010482	regulation of epidermal cell division	3	0
GO_BP	GO:0010493	Lewis a epitope biosynthetic process	1	0
GO_BP	GO:0010496	intercellular transport	31	1
GO_BP	GO:0010498	proteasomal protein catabolic process	516	0
GO_BP	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	19	1
GO_BP	GO:0010506	regulation of autophagy	347	1
GO_BP	GO:0010507	negative regulation of autophagy	81	1
GO_BP	GO:0010508	positive regulation of autophagy	157	1
GO_BP	GO:0010509	intracellular polyamine homeostasis	1	0
GO_BP	GO:0010510	regulation of pyruvate decarboxylation to acetyl-CoA	10	1
GO_BP	GO:0010511	regulation of phosphatidylinositol biosynthetic process	5	0
GO_BP	GO:0010512	negative regulation of phosphatidylinositol biosynthetic process	2	0
