source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	0
GO_BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	38	1
GO_BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	28	1
GO_BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	38	1
GO_BP	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10	1
GO_BP	GO:0000470	maturation of LSU-rRNA	34	1
GO_BP	GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	0
GO_BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	29	1
GO_BP	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	0
GO_BP	GO:0000481	maturation of 5S rRNA	1	0
GO_BP	GO:0000491	small nucleolar ribonucleoprotein complex assembly	11	1
GO_BP	GO:0000492	box C/D snoRNP assembly	9	0
GO_BP	GO:0000493	box H/ACA snoRNP assembly	2	0
GO_BP	GO:0000494	box C/D sno(s)RNA 3'-end processing	3	0
GO_BP	GO:0000495	box H/ACA sno(s)RNA 3'-end processing	2	0
GO_BP	GO:0000512	lncRNA-mediated post-transcriptional gene silencing	2	0
GO_BP	GO:0000578	embryonic axis specification	31	1
GO_BP	GO:0000706	meiotic DNA double-strand break processing	2	0
GO_BP	GO:0000707	meiotic DNA recombinase assembly	3	0
GO_BP	GO:0000708	meiotic strand invasion	1	0
GO_BP	GO:0000709	meiotic joint molecule formation	1	0
GO_BP	GO:0000710	meiotic mismatch repair	3	0
GO_BP	GO:0000711	meiotic DNA repair synthesis	2	0
GO_BP	GO:0000712	resolution of meiotic recombination intermediates	18	1
GO_BP	GO:0000715	nucleotide-excision repair, DNA damage recognition	1	0
GO_BP	GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	1	0
GO_BP	GO:0000722	telomere maintenance via recombination	14	1
GO_BP	GO:0000723	telomere maintenance	97	1
GO_BP	GO:0000724	double-strand break repair via homologous recombination	119	1
GO_BP	GO:0000725	recombinational repair	124	1
GO_BP	GO:0000727	double-strand break repair via break-induced replication	12	1
GO_BP	GO:0000729	DNA double-strand break processing	19	1
